#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-18T16:18:34 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-18T16:18:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=II/246&-c=&-c.rs=5&limit=5000&-out=2MASS,RAJ2000,DEJ2000,Kmag	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_2246
#Name: II/246
#Title: 2MASS All-Sky Catalog of Point Sources (Cutri+ 2003)
#INFO	ivoid=ivo://cds.vizier/ii/246	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/ii/246	    IVOID of underlying data collection
#INFO	creator=Cutri R.M.	    First author or institution
#INFO	cites=bibcode:2003yCat.2246....0C	    Bibcode of the dataset
#INFO	journal=yCat	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/II/246	    Dataset landing page
#INFO	publication_date=2025-03-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	II_246_out:
#Name: II/246/out
#Title: 2MASS Point Source Catalogue, output (on a total of 470,992,970 sources)
#Column	2MASS	(a17)	(designation) Source designation (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	(ra) Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	(dec) Declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Kmag	(F6.3)	?(k_m) K selected default magnitude (2)	[ucd=phot.mag;em.IR.K]
2MASS	RAJ2000	DEJ2000	Kmag
03072405+0519496 	046.850235	+05.330468	14.691
03072633+0521016 	046.859743	+05.350452	14.092
03072787+0521324 	046.866145	+05.359006	15.107
03071868+0521128 	046.827868	+05.353565	15.224
03072030+0521295 	046.834599	+05.358196	15.217
03071895+0521540 	046.828968	+05.365007	15.657
03072305+0522160 	046.846059	+05.371131	14.082
03073569+0521406 	046.898732	+05.361289	 9.231
03073552+0521408 	046.898012	+05.361338	 9.588
03073474+0521443 	046.894764	+05.362327	15.872
03073412+0522391 	046.892188	+05.377538	13.566
03073977+0523296 	046.915747	+05.391580	13.614
03072953+0521590 	046.873052	+05.366412	15.784
03072720+0522033 	046.863338	+05.367603	15.033
03072720+0522129 	046.863346	+05.370261	15.559
03073293+0522446 	046.887230	+05.379080	15.379
03073268+0522551 	046.886184	+05.381991	15.124
03072423+0522385 	046.850988	+05.377385	14.934
03073293+0523055 	046.887216	+05.384888	15.960
03073199+0523075 	046.883307	+05.385418	14.783
03071336+0520473 	046.805668	+05.346486	17.311
03071984+0522393 	046.832688	+05.377607	12.578
03071989+0522576 	046.832905	+05.382674	15.581
03071456+0522471 	046.810697	+05.379765	15.334
03071694+0523194 	046.820617	+05.388732	13.643
03071169+0522446 	046.798744	+05.379083	15.738
03071610+0523509 	046.817112	+05.397484	14.073
03071160+0524250 	046.798334	+05.406972	15.087
03072319+0523215 	046.846642	+05.389326	16.085
03072681+0524088 	046.861716	+05.402455	15.576
03072242+0524255 	046.843454	+05.407098	14.646
03072885+0524109 	046.870234	+05.403053	15.436
03072801+0525356 	046.866719	+05.426556	13.676
03071960+0524598 	046.831689	+05.416615	15.129
03072055+0525365 	046.835641	+05.426819	14.989
03072500+0525424 	046.854183	+05.428457	14.144
03072802+0526064 	046.866791	+05.435117	15.739
03072714+0526157 	046.863102	+05.437711	15.811
03071905+0526127 	046.829390	+05.436873	14.715
03074602+0523171 	046.941773	+05.388099	13.836
03074479+0523468 	046.936626	+05.396336	15.158
03074544+0524097 	046.939352	+05.402697	15.891
03074181+0524066 	046.924221	+05.401836	12.478
03074229+0524208 	046.926233	+05.405803	14.084
03074807+0524194 	046.950300	+05.405416	15.348
03075179+0525137 	046.965806	+05.420489	15.012
03073980+0525596 	046.915870	+05.433228	15.063
03074401+0526265 	046.933401	+05.440711	14.992
03075449+0525318 	046.977081	+05.425509	15.189
03075788+0527381 	046.991176	+05.460587	15.173
03075065+0527404 	046.961053	+05.461234	14.015
03075078+0527502 	046.961589	+05.463950	14.137
03075870+0528091 	046.994591	+05.469204	15.764
03075315+0528290 	046.971469	+05.474728	15.262
03073576+0526056 	046.899022	+05.434905	15.083
03073204+0526551 	046.883504	+05.448646	13.916
03073436+0526588 	046.893195	+05.449677	13.140
03073469+0527041 	046.894548	+05.451160	15.494
03073766+0528025 	046.906940	+05.467364	15.306
03072643+0526446 	046.860163	+05.445725	11.554
03072593+0527451 	046.858066	+05.462552	13.633
03073392+0528051 	046.891366	+05.468110	15.329
03073540+0528547 	046.897527	+05.481869	15.958
03074317+0529145 	046.929875	+05.487372	15.823
03074953+0529260 	046.956416	+05.490575	15.129
03074430+0529309 	046.934591	+05.491941	12.898
03074744+0530374 	046.947696	+05.510411	15.407
03061782+0515062 	046.574287	+05.251735	15.407
03061949+0515406 	046.581249	+05.261303	15.231
03061506+0516163 	046.562752	+05.271201	14.261
03061633+0516439 	046.568080	+05.278879	12.805
03062232+0516426 	046.593023	+05.278509	 8.507
03062320+0516475 	046.596694	+05.279874	14.625
03062018+0517255 	046.584095	+05.290436	11.512
03063295+0517011 	046.637330	+05.283656	15.944
03062994+0517231 	046.624757	+05.289777	13.947
03063584+0518112 	046.649352	+05.303137	15.278
03063706+0518338 	046.654418	+05.309404	15.279
03063698+0518514 	046.654094	+05.314284	15.094
03063375+0518515 	046.640628	+05.314317	15.918
03062120+0518067 	046.588334	+05.301872	16.030
03062255+0518422 	046.593995	+05.311740	15.554
03063040+0519110 	046.626682	+05.319732	13.724
03063196+0519115 	046.633174	+05.319866	14.538
03062865+0520053 	046.619388	+05.334815	14.692
03061102+0516473 	046.545950	+05.279813	12.511
03060698+0518213 	046.529087	+05.305925	14.256
03060678+0518255 	046.528281	+05.307108	 9.787
03060275+0518534 	046.511461	+05.314834	15.647
03060788+0519196 	046.532841	+05.322114	14.750
03062099+0518456 	046.587478	+05.312675	14.750
03061987+0518529 	046.582827	+05.314722	 5.838
03062255+0519244 	046.593960	+05.323454	13.142
03061693+0518592 	046.570558	+05.316454	14.346
03061622+0519276 	046.567612	+05.324345	13.571
03061821+0519437 	046.575914	+05.328830	15.180
03062381+0519403 	046.599249	+05.327874	14.244
03062077+0520412 	046.586553	+05.344783	15.567
03061715+0520552 	046.571478	+05.348668	15.897
03064466+0521150 	046.686096	+05.354170	11.745
03063985+0520206 	046.666078	+05.339065	14.595
03063564+0521284 	046.648541	+05.357898	13.668
03065268+0521227 	046.719533	+05.356313	15.649
03065394+0521389 	046.724789	+05.360824	15.338
03065483+0521586 	046.728474	+05.366286	14.798
03065112+0522302 	046.713013	+05.375076	15.455
03065626+0523136 	046.734449	+05.387116	14.965
03064541+0522011 	046.689240	+05.366981	14.351
03064236+0522307 	046.676538	+05.375195	14.638
03064207+0522382 	046.675318	+05.377279	12.530
03064897+0523238 	046.704043	+05.389968	15.784
03064901+0524297 	046.704210	+05.408259	15.152
03063332+0522242 	046.638845	+05.373408	17.031
03063527+0522465 	046.646997	+05.379611	15.734
03063332+0523469 	046.638874	+05.396369	15.875
03062658+0523335 	046.610759	+05.392661	16.643
03062904+0524077 	046.621036	+05.402162	13.739
03064115+0524109 	046.671479	+05.403037	15.528
03064711+0525128 	046.696306	+05.420239	13.484
03064743+0525130 	046.697648	+05.420297	12.172
03064311+0525375 	046.679649	+05.427109	15.215
03060173+0519315 	046.507242	+05.325438	15.320
03055889+0519409 	046.495399	+05.328039	15.165
03060013+0519434 	046.500543	+05.328732	15.178
03060338+0520250 	046.514089	+05.340300	14.183
03060301+0521111 	046.512567	+05.353103	15.597
03061428+0521586 	046.559528	+05.366292	15.011
03061788+0522499 	046.574529	+05.380541	17.147
03061625+0522599 	046.567738	+05.383325	14.593
03061321+0522476 	046.555063	+05.379893	10.699
03060506+0522147 	046.521093	+05.370757	15.161
03060622+0522157 	046.525948	+05.371035	16.020
03060584+0523174 	046.524367	+05.388188	15.613
03060550+0523592 	046.522940	+05.399787	15.123
03060704+0524034 	046.529343	+05.400949	14.340
03055126+0521226 	046.463620	+05.356303	15.492
03054629+0522023 	046.442879	+05.367321	14.787
03055345+0522132 	046.472710	+05.370340	14.935
03055316+0522542 	046.471516	+05.381731	15.846
03054400+0522336 	046.433339	+05.376003	14.217
03054420+0523100 	046.434175	+05.386114	13.291
03055215+0523429 	046.467309	+05.395275	11.839
03055017+0523472 	046.459073	+05.396459	15.441
03055619+0523168 	046.484134	+05.388019	15.713
03055863+0524022 	046.494308	+05.400623	15.456
03060497+0524248 	046.520721	+05.406912	13.883
03060370+0525109 	046.515454	+05.419703	13.557
03055285+0524287 	046.470245	+05.407976	13.186
03055233+0524354 	046.468071	+05.409851	13.140
03055312+0524402 	046.471352	+05.411181	15.671
03061827+0523449 	046.576152	+05.395824	15.679
03062608+0524107 	046.608687	+05.402986	16.258
03062554+0524478 	046.606420	+05.413302	15.233
03062714+0525004 	046.613114	+05.416787	15.886
03062353+0525134 	046.598074	+05.420415	12.765
03061449+0526038 	046.560389	+05.434403	14.205
03062432+0526120 	046.601351	+05.436693	10.011
03062337+0526143 	046.597377	+05.437321	15.045
03061988+0526204 	046.582837	+05.439027	12.646
03063292+0526366 	046.637177	+05.443508	16.094
03062831+0525566 	046.617981	+05.432415	13.330
03062833+0526030 	046.618067	+05.434190	15.668
03063001+0527345 	046.625080	+05.459593	13.541
03060907+0525417 	046.537819	+05.428275	15.136
03061042+0526151 	046.543435	+05.437553	15.166
03060840+0527051 	046.535013	+05.451419	15.503
03061486+0526434 	046.561934	+05.445389	13.662
03060517+0526404 	046.521551	+05.444573	16.017
03061187+0528470 	046.549487	+05.479737	15.257
03060849+0528185 	046.535410	+05.471825	15.472
03062718+0530015 	046.613270	+05.500417	11.259
03062020+0530441 	046.584184	+05.512269	15.476
03061684+0531074 	046.570186	+05.518726	13.725
03065793+0523387 	046.741393	+05.394108	14.922
03070166+0524206 	046.756937	+05.405740	15.516
03070007+0524278 	046.750332	+05.407742	15.817
03070058+0524291 	046.752453	+05.408095	15.470
03071170+0525007 	046.798786	+05.416864	15.235
03070675+0525066 	046.778137	+05.418510	15.398
03065595+0524063 	046.733136	+05.401763	14.860
03065536+0525103 	046.730701	+05.419541	15.805
03071203+0525413 	046.800162	+05.428155	14.914
03071587+0526130 	046.816143	+05.436945	16.063
03071590+0526189 	046.816255	+05.438609	15.193
03071080+0526470 	046.795036	+05.446394	15.197
03072115+0526574 	046.838141	+05.449286	12.334
03071569+0526568 	046.815376	+05.449118	17.017
03071553+0528318 	046.814724	+05.475500	15.370
03071607+0528367 	046.816993	+05.476864	14.581
03065017+0525199 	046.709053	+05.422198	15.914
03065713+0526163 	046.738080	+05.437867	15.558
03065496+0526446 	046.729021	+05.445727	15.265
03065893+0527023 	046.745571	+05.450661	15.412
03065382+0526538 	046.724285	+05.448280	12.446
03065273+0527028 	046.719731	+05.450802	16.301
03065292+0527303 	046.720534	+05.458429	14.435
03064530+0527090 	046.688782	+05.452514	14.651
03064581+0527282 	046.690911	+05.457837	14.944
03065221+0527274 	046.717551	+05.457624	14.308
03065231+0527489 	046.717960	+05.463596	14.163
03065321+0528032 	046.721735	+05.467563	14.255
03065387+0528318 	046.724491	+05.475516	15.968
03065022+0528599 	046.709251	+05.483324	13.514
03065799+0528385 	046.741665	+05.477366	17.325
03070534+0529056 	046.772281	+05.484912	12.978
03070505+0530105 	046.771050	+05.502918	15.709
03065411+0529301 	046.725480	+05.491705	14.093
03070238+0529583 	046.759945	+05.499529	15.176
03072626+0528156 	046.859455	+05.471013	15.779
03072288+0529176 	046.845361	+05.488237	15.721
03072927+0528497 	046.871991	+05.480498	15.369
03072787+0529164 	046.866158	+05.487903	15.519
03072490+0529327 	046.853779	+05.492443	15.427
03072347+0531155 	046.847801	+05.520984	15.595
03073782+0530261 	046.907584	+05.507275	13.811
03073546+0530357 	046.897763	+05.509927	12.406
03072702+0531035 	046.862603	+05.517653	14.252
03073011+0532235 	046.875492	+05.539887	15.181
03073203+0532197 	046.883462	+05.538813	15.309
03070764+0530342 	046.781836	+05.509516	15.666
03072024+0531115 	046.834370	+05.519868	14.317
03071952+0531361 	046.831355	+05.526721	15.738
03071707+0532259 	046.821129	+05.540534	13.517
03070875+0531573 	046.786465	+05.532586	15.241
03072283+0532503 	046.845127	+05.547306	13.631
03072143+0533246 	046.839329	+05.556861	15.101
03072855+0534155 	046.868995	+05.570998	14.052
03072216+0533597 	046.842373	+05.566589	15.201
03072205+0535296 	046.841895	+05.591570	13.916
03072305+0535532 	046.846083	+05.598137	14.407
03064161+0527340 	046.673401	+05.459454	15.979
03063979+0527483 	046.665803	+05.463431	15.602
03064354+0529056 	046.681424	+05.484898	15.486
03064714+0530182 	046.696432	+05.505061	14.475
03063494+0529495 	046.645585	+05.497108	13.613
03064547+0530310 	046.689464	+05.508625	15.928
03064982+0530046 	046.707613	+05.501296	15.446
03065977+0531488 	046.749053	+05.530236	15.927
03065963+0532135 	046.748498	+05.537094	14.816
03064803+0531534 	046.700150	+05.531508	15.112
03064328+0531401 	046.680350	+05.527823	15.849
03064484+0531383 	046.686841	+05.527320	15.349
03064460+0531548 	046.685851	+05.531895	15.216
03065220+0532135 	046.717527	+05.537107	15.705
03065016+0532141 	046.709000	+05.537260	14.274
03064752+0532356 	046.698010	+05.543228	15.880
03063377+0530161 	046.640737	+05.504483	15.386
03062584+0530346 	046.607668	+05.509633	14.411
03063688+0530571 	046.653688	+05.515875	15.735
03063398+0532144 	046.641592	+05.537339	14.495
03063336+0532224 	046.639022	+05.539572	15.205
03062399+0531327 	046.599967	+05.525776	15.356
03062432+0532217 	046.601357	+05.539374	13.603
03063449+0532403 	046.643718	+05.544536	13.841
03062856+0533145 	046.619019	+05.554040	17.238
03063973+0531590 	046.665581	+05.533065	10.963
03064538+0533045 	046.689085	+05.551272	15.028
03064800+0534249 	046.700040	+05.573605	15.543
03063558+0533461 	046.648280	+05.562828	14.878
03064508+0535107 	046.687858	+05.586328	14.892
03070356+0533160 	046.764838	+05.554448	15.509
03070579+0533466 	046.774129	+05.562957	11.906
03070315+0534151 	046.763146	+05.570887	15.991
03065428+0534333 	046.726188	+05.575932	15.737
03070110+0534357 	046.754613	+05.576598	14.693
03070426+0534388 	046.767753	+05.577462	12.984
03070141+0535085 	046.755893	+05.585717	15.043
03065722+0535150 	046.738423	+05.587514	12.749
03071111+0534595 	046.796332	+05.583211	15.513
03071650+0536105 	046.818757	+05.602943	14.959
03070691+0535541 	046.778825	+05.598363	 9.659
03070500+0536131 	046.770845	+05.603652	13.957
03071422+0536423 	046.809275	+05.611753	14.087
03064886+0534528 	046.703602	+05.581357	15.863
03065125+0536071 	046.713569	+05.601988	13.809
03065725+0535299 	046.738546	+05.591639	15.502
03064464+0536286 	046.686031	+05.607970	15.751
03065472+0537214 	046.728036	+05.622635	15.418
03065035+0537296 	046.709806	+05.624896	14.990
03065896+0537310 	046.745689	+05.625283	15.817
03070871+0538100 	046.786292	+05.636124	15.623
03070514+0538504 	046.771446	+05.647352	16.170
03070606+0539169 	046.775287	+05.654716	15.673
03065736+0537392 	046.739034	+05.627580	14.113
03065901+0538243 	046.745911	+05.640095	14.747
03065968+0538445 	046.748685	+05.645695	15.539
03065427+0538259 	046.726164	+05.640530	14.638
03070351+0539085 	046.764660	+05.652384	15.582
03070521+0539372 	046.771714	+05.660346	10.185
03070088+0540303 	046.753671	+05.675103	13.157
03070110+0540337 	046.754609	+05.676050	11.935
03041207+0505079 	046.050322	+05.085529	15.544
03041073+0505484 	046.044725	+05.096792	10.659
03041246+0505506 	046.051945	+05.097404	15.110
03041206+0505569 	046.050266	+05.099159	15.358
03041843+0506502 	046.076796	+05.113949	13.754
03040851+0506241 	046.035463	+05.106717	14.405
03040975+0507302 	046.040635	+05.125059	15.524
03041691+0507531 	046.070484	+05.131424	13.794
03041598+0508393 	046.066591	+05.144257	15.741
03040854+0508147 	046.035614	+05.137420	15.078
03042303+0507342 	046.095972	+05.126184	14.974
03042892+0509243 	046.120537	+05.156751	15.652
03042859+0509462 	046.119145	+05.162851	16.012
03041667+0509517 	046.069461	+05.164365	15.866
03042229+0510288 	046.092889	+05.174689	16.474
03040496+0507562 	046.020697	+05.132283	15.786
03040052+0508047 	046.002203	+05.134649	15.876
03040006+0508388 	046.000258	+05.144124	15.180
03040527+0509094 	046.021964	+05.152614	13.970
03040757+0509315 	046.031547	+05.158753	15.309
03040629+0510397 	046.026218	+05.177716	14.250
03040162+0510311 	046.006753	+05.175324	15.608
03040229+0510502 	046.009576	+05.180618	15.227
03040480+0510551 	046.020018	+05.181989	13.129
03041345+0509369 	046.056057	+05.160262	14.852
03041178+0509490 	046.049104	+05.163623	14.888
03040980+0511192 	046.040869	+05.188692	 9.321
03041089+0511296 	046.045415	+05.191559	16.278
03040369+0511318 	046.015379	+05.192191	15.672
03040339+0511381 	046.014165	+05.193927	15.862
03041011+0512180 	046.042129	+05.205017	15.248
03041446+0513115 	046.060267	+05.219879	12.702
03044091+0510434 	046.170490	+05.178723	15.409
03043018+0511070 	046.125752	+05.185288	11.561
03042764+0512065 	046.115192	+05.201814	14.651
03043425+0512222 	046.142741	+05.206190	16.062
03043227+0512210 	046.134485	+05.205861	15.060
03043113+0512544 	046.129733	+05.215124	14.262
03044523+0512093 	046.188495	+05.202599	14.601
03044345+0512337 	046.181059	+05.209382	15.616
03044445+0512449 	046.185223	+05.212487	14.116
03045132+0513271 	046.213872	+05.224201	14.719
03045070+0514030 	046.211250	+05.234174	13.869
03043738+0513168 	046.155762	+05.221338	14.127
03044154+0514266 	046.173094	+05.240745	15.870
03044425+0515207 	046.184385	+05.255754	15.842
03044425+0515347 	046.184385	+05.259660	15.179
03044372+0515476 	046.182173	+05.263223	14.824
03042281+0511440 	046.095063	+05.195575	15.916
03042598+0512106 	046.108250	+05.202960	10.687
03043419+0513462 	046.142476	+05.229507	16.060
03043038+0514192 	046.126612	+05.238677	15.357
03041880+0513481 	046.078362	+05.230055	15.274
03042303+0514043 	046.095985	+05.234528	15.630
03042397+0514351 	046.099879	+05.243106	15.326
03042345+0514462 	046.097709	+05.246184	15.954
03042766+0514578 	046.115258	+05.249392	15.621
03043794+0514381 	046.158120	+05.243919	13.326
03042961+0514599 	046.123383	+05.249993	15.427
03043470+0515382 	046.144593	+05.260635	15.561
03044408+0516065 	046.183695	+05.268496	15.780
03042821+0516001 	046.117542	+05.266695	15.018
03042708+0516055 	046.112839	+05.268211	14.917
03042745+0516392 	046.114389	+05.277572	15.016
03043326+0516396 	046.138594	+05.277687	13.462
03043582+0517550 	046.149278	+05.298635	13.092
03035268+0510084 	045.969531	+05.169017	15.433
03035336+0510300 	045.972336	+05.175003	15.479
03035221+0510577 	045.967578	+05.182695	15.689
03035848+0510443 	045.993700	+05.178973	15.310
03034717+0512132 	045.946561	+05.203688	15.514
03035075+0512297 	045.961469	+05.208264	14.680
03035012+0512421 	045.958874	+05.211697	15.873
03035208+0512596 	045.967030	+05.216583	15.912
03035969+0512351 	045.998742	+05.209759	15.795
03035965+0512557 	045.998557	+05.215487	14.747
03040666+0513465 	046.027782	+05.229606	16.397
03040056+0513217 	046.002342	+05.222701	15.593
03035404+0513464 	045.975194	+05.229567	15.728
03035917+0514543 	045.996554	+05.248426	14.950
03034073+0515321 	045.919731	+05.258922	12.404
03035476+0514319 	045.978173	+05.242197	 9.691
03035282+0514576 	045.970086	+05.249358	15.615
03034832+0514500 	045.951355	+05.247238	12.791
03040159+0515493 	046.006650	+05.263707	14.535
03034875+0516309 	045.953161	+05.275255	15.999
03034603+0516473 	045.941833	+05.279830	15.434
03035274+0516226 	045.969765	+05.272958	15.243
03035139+0516477 	045.964144	+05.279931	15.690
03040992+0514402 	046.041369	+05.244506	16.145
03041114+0515141 	046.046448	+05.253937	15.513
03041075+0515228 	046.044833	+05.256348	15.333
03041543+0515358 	046.064311	+05.259963	15.290
03040938+0515414 	046.039095	+05.261526	11.251
03040782+0517007 	046.032594	+05.283545	15.845
03040948+0517160 	046.039501	+05.287789	13.245
03041291+0518125 	046.053808	+05.303479	15.434
03042519+0517159 	046.104975	+05.287765	15.977
03042305+0517334 	046.096080	+05.292636	14.397
03042026+0519027 	046.084419	+05.317433	15.960
03035932+0517543 	045.997195	+05.298432	15.243
03035877+0518290 	045.994909	+05.308059	15.984
03040584+0519404 	046.024339	+05.327902	15.810
03040369+0520108 	046.015375	+05.336347	11.018
03040062+0519581 	046.002603	+05.332832	13.871
03041158+0520033 	046.048283	+05.334253	15.421
03041935+0521118 	046.080646	+05.353286	15.123
03040679+0520053 	046.028292	+05.334833	16.132
03040589+0520558 	046.024583	+05.348844	11.780
03041157+0522208 	046.048218	+05.372456	17.260
03041363+0522272 	046.056794	+05.374235	13.727
03045599+0514524 	046.233321	+05.247893	15.986
03045209+0515137 	046.217060	+05.253818	16.152
03045014+0515514 	046.208918	+05.264304	14.214
03050844+0516355 	046.285196	+05.276548	14.933
03051050+0517055 	046.293754	+05.284882	15.948
03051056+0517472 	046.294024	+05.296448	15.514
03051166+0517572 	046.298618	+05.299230	15.140
03051342+0518157 	046.305935	+05.304369	15.726
03051099+0518376 	046.295806	+05.310449	15.346
03050996+0518428 	046.291516	+05.311907	15.576
03045852+0518101 	046.243864	+05.302807	15.764
03044539+0516373 	046.189154	+05.277037	15.760
03044933+0517237 	046.205571	+05.289921	15.536
03044933+0518055 	046.205557	+05.301552	15.293
03044940+0518342 	046.205847	+05.309521	15.396
03044904+0518410 	046.204335	+05.311396	14.162
03044582+0518408 	046.190936	+05.311360	16.114
03044335+0518516 	046.180628	+05.314348	15.187
03045791+0520262 	046.241321	+05.340632	14.927
03045654+0522165 	046.235607	+05.371271	15.736
03051713+0518299 	046.321412	+05.308311	13.686
03051787+0518427 	046.324497	+05.311870	14.088
03051922+0520539 	046.330122	+05.348322	15.668
03051860+0521295 	046.327531	+05.358208	14.549
03051533+0521340 	046.313883	+05.359455	12.486
03052464+0521237 	046.352680	+05.356609	15.503
03052494+0521516 	046.353922	+05.364337	14.812
03053241+0522111 	046.385062	+05.369763	15.606
03053140+0522016 	046.380838	+05.367130	15.818
03053451+0522251 	046.393793	+05.373639	16.337
03053642+0522567 	046.401784	+05.382427	13.262
03053614+0522574 	046.400613	+05.382614	14.193
03053324+0522434 	046.388525	+05.378735	14.929
03052907+0522530 	046.371166	+05.381389	13.900
03053091+0523109 	046.378820	+05.386366	13.756
03053048+0523324 	046.377040	+05.392336	14.370
03052973+0523483 	046.373910	+05.396755	14.739
03052480+0524057 	046.353355	+05.401601	14.840
03052870+0524296 	046.369592	+05.408242	15.782
03050748+0521555 	046.281177	+05.365434	16.084
03050797+0523058 	046.283221	+05.384948	11.329
03050476+0523152 	046.269857	+05.387558	15.595
03051092+0523535 	046.295516	+05.398204	13.259
03051553+0524294 	046.314717	+05.408194	11.926
03051466+0524346 	046.311118	+05.409630	13.314
03052097+0524508 	046.337387	+05.414135	15.817
03052418+0525049 	046.350781	+05.418051	14.730
03052174+0525179 	046.340602	+05.421659	14.003
03052344+0525454 	046.347697	+05.429296	15.849
03051322+0525306 	046.305086	+05.425171	14.894
03051642+0525187 	046.318423	+05.421864	15.678
03052099+0526161 	046.337486	+05.437806	15.976
03042722+0520585 	046.113454	+05.349597	15.590
03043670+0521064 	046.152934	+05.351785	14.396
03043122+0521547 	046.130097	+05.365211	14.433
03044767+0521197 	046.198649	+05.355474	15.987
03044701+0521471 	046.195886	+05.363107	15.493
03044858+0521562 	046.202432	+05.365629	15.649
03043988+0521351 	046.166205	+05.359773	15.240
03045187+0522141 	046.216136	+05.370603	15.767
03044856+0522211 	046.202362	+05.372538	15.766
03045457+0522431 	046.227395	+05.378657	15.379
03044762+0522164 	046.198445	+05.371246	16.665
03044014+0522221 	046.167250	+05.372825	15.737
03043774+0522285 	046.157290	+05.374586	13.988
03043794+0522503 	046.158118	+05.380650	14.620
03043999+0523130 	046.166666	+05.386956	15.548
03044775+0524177 	046.198964	+05.404930	 7.822
03042727+0521273 	046.113651	+05.357603	13.472
03042307+0522094 	046.096139	+05.369303	14.418
03042587+0523093 	046.107796	+05.385940	15.328
03042149+0522478 	046.089574	+05.379964	15.802
03041870+0522490 	046.077920	+05.380285	14.495
03041529+0522271 	046.063733	+05.374199	15.315
03041772+0523051 	046.073858	+05.384777	14.198
03041822+0523169 	046.075934	+05.388052	15.743
03041752+0523110 	046.073018	+05.386396	15.084
03041703+0523106 	046.070976	+05.386296	15.829
03041634+0523125 	046.068113	+05.386821	15.533
03043459+0523114 	046.144136	+05.386518	14.628
03043273+0523086 	046.136391	+05.385742	16.032
03043644+0525020 	046.151870	+05.417233	15.293
03042811+0524302 	046.117164	+05.408392	13.555
03043075+0525539 	046.128152	+05.431646	14.677
03043010+0526218 	046.125425	+05.439410	15.500
03043215+0526418 	046.133973	+05.444961	13.012
03045400+0523059 	046.225028	+05.384987	15.268
03045376+0523596 	046.224038	+05.399912	15.394
03045297+0524090 	046.220723	+05.402515	13.522
03045522+0523564 	046.230085	+05.399021	15.480
03050365+0524404 	046.265219	+05.411225	15.868
03050451+0524496 	046.268792	+05.413789	15.108
03050109+0525317 	046.254573	+05.425478	16.664
03045143+0524190 	046.214301	+05.405301	15.848
03044776+0525086 	046.199033	+05.419063	12.189
03044918+0525390 	046.204942	+05.427513	15.269
03045938+0526007 	046.247452	+05.433533	15.729
03050932+0526097 	046.288852	+05.436031	13.261
03050822+0526394 	046.284257	+05.444279	14.936
03051065+0528096 	046.294415	+05.469343	11.593
03051065+0528153 	046.294411	+05.470929	 8.954
03050024+0526158 	046.251039	+05.437725	15.970
03050289+0527383 	046.262053	+05.460647	14.953
03050512+0527363 	046.271359	+05.460097	15.796
03050510+0527473 	046.271250	+05.463150	16.021
03050714+0528269 	046.279791	+05.474151	14.879
03050424+0528496 	046.267674	+05.480464	16.108
03044957+0526482 	046.206566	+05.446749	15.569
03045300+0527075 	046.220847	+05.452109	14.875
03045371+0527221 	046.223802	+05.456156	15.551
03044969+0527182 	046.207082	+05.455065	11.884
03044612+0527081 	046.192182	+05.452276	15.865
03044969+0527236 	046.207071	+05.456560	 9.543
03043916+0526343 	046.163180	+05.442878	14.702
03043457+0527126 	046.144065	+05.453501	13.756
03044067+0528077 	046.169495	+05.468823	13.271
03044638+0527373 	046.193276	+05.460376	15.107
03044844+0528266 	046.201864	+05.474068	15.217
03044437+0528371 	046.184895	+05.476973	15.575
03044607+0529081 	046.191994	+05.485610	13.400
03045850+0528006 	046.243790	+05.466852	15.004
03045295+0528037 	046.220664	+05.467706	15.930
03045904+0529009 	046.246029	+05.483599	13.767
03050080+0529202 	046.253367	+05.488966	15.442
03045185+0529248 	046.216046	+05.490232	15.996
03045284+0529385 	046.220184	+05.494051	15.572
03044601+0529297 	046.191709	+05.491596	10.756
03044849+0529563 	046.202068	+05.498979	14.463
03045911+0530212 	046.246317	+05.505891	14.958
03033453+0515107 	045.893916	+05.252988	11.620
03032785+0514386 	045.866076	+05.244075	16.005
03032918+0514545 	045.871584	+05.248495	12.723
03033594+0517027 	045.899763	+05.284086	15.620
03032888+0515482 	045.870352	+05.263415	10.963
03032839+0515564 	045.868315	+05.265681	13.111
03032651+0516094 	045.860459	+05.269296	10.065
03032463+0516092 	045.852654	+05.269224	14.601
03032109+0515580 	045.837875	+05.266115	13.935
